graph_name,graph_family,directed,source,mode,threads,alpha,beta,runtime_seconds,cpu_time_seconds,total_visited,total_levels,total_edge_examinations,switch_to_bottom_up_level,switch_back_to_top_down_level,top_down_levels,bottom_up_levels,frontier_at_switch,visited_fraction_at_switch,speedup,efficiency
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,64.0,0.088723208,0.096805000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3344,1.3344
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,16.0,0.078510450,0.085661000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2699,1.2699
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,8.0,0.079160407,0.086371000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3495,1.3495
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,24.0,0.081146309,0.088540000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2838,1.2838
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,16.0,0.089618707,0.097780000,540486,15,15508276,4,8,11,4,32337,0.063215,1.4078,1.4078
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,32.0,0.096341630,0.105123000,540486,15,15356630,4,9,10,5,32337,0.063215,1.2834,1.2834
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,24.0,0.079959380,0.087246000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2444,1.2444
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,48.0,0.083244551,0.090829000,540486,15,15356630,4,9,10,5,32337,0.063215,1.2122,1.2122
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,32.0,0.094811571,0.103446000,540486,15,15356630,4,9,10,5,32337,0.063215,1.6650,1.6650
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,64.0,0.083414241,0.091030000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1506,1.1506
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,48.0,0.084613894,0.092319000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3074,1.3074
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,8.0,0.083058900,0.090625000,540486,15,15508276,4,8,11,4,32337,0.063215,2.1790,2.1790
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,64.0,0.089176955,0.097308000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3754,1.3754
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,16.0,0.125985923,0.137492000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3634,2.3634
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,8.0,0.060814270,0.127714000,540486,15,7895252,5,8,12,3,176764,0.390262,3.4832,1.7416
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,24.0,0.112207902,0.122470000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3038,1.3038
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,16.0,0.047421505,0.101082000,540486,15,7895252,5,8,12,3,176764,0.390262,3.1366,1.5683
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,32.0,0.094909574,0.103565000,540486,15,15356630,4,9,10,5,32337,0.063215,1.6024,1.6024
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,24.0,0.036505033,0.076574000,540486,15,7895252,5,8,12,3,176764,0.390262,3.1717,1.5858
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,48.0,0.086649494,0.094544000,540486,15,15356630,4,9,10,5,32337,0.063215,1.6163,1.6163
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,32.0,0.026188421,0.052419000,540486,15,7743606,5,9,11,4,176764,0.390262,4.1291,2.0645
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,12.0,64.0,0.078054834,0.085165000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3841,1.3841
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,48.0,0.031462787,0.064246000,540486,15,7743606,5,9,11,4,176764,0.390262,3.3518,1.6759
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,8.0,0.091244928,0.099558000,540486,15,15508276,4,8,11,4,32337,0.063215,1.5055,1.5055
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,64.0,0.029177457,0.061400000,540486,15,7743606,5,9,11,4,176764,0.390262,4.3496,2.1748
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,16.0,0.108203236,0.118062000,540486,15,15508276,4,8,11,4,32337,0.063215,1.0781,1.0781
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,8.0,0.063158288,0.136717000,540486,15,7895252,5,8,12,3,176764,0.390262,2.2092,1.1046
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,24.0,0.106438482,0.116137000,540486,15,15508276,4,8,11,4,32337,0.063215,1.0968,1.0968
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,16.0,0.086876446,0.187487000,540486,15,7895252,5,8,12,3,176764,0.390262,1.4634,0.7317
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,32.0,0.084021131,0.091666000,540486,15,15356630,4,9,10,5,32337,0.063215,1.4119,1.4119
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,24.0,0.033022799,0.068623000,540486,15,7895252,5,8,12,3,176764,0.390262,3.7846,1.8923
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,48.0,0.086581832,0.094473000,540486,15,15356630,4,9,10,5,32337,0.063215,1.4680,1.4680
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,32.0,0.033335926,0.069756000,540486,15,7743606,5,9,11,4,176764,0.390262,3.7478,1.8739
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,64.0,0.087028892,0.094960000,540486,15,15356630,4,9,10,5,32337,0.063215,1.2520,1.2520
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,48.0,0.030275470,0.062342000,540486,15,7743606,5,9,11,4,176764,0.390262,4.0592,2.0296
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,8.0,0.081941814,0.089416000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3253,1.3253
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,64.0,0.038155158,0.078923000,540486,15,7743606,5,9,11,4,176764,0.390262,4.0634,2.0317
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,16.0,0.085250214,0.093025000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3251,1.3251
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,8.0,0.048237841,0.102281000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3009,1.1505
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,24.0,0.086030808,0.093868000,540486,15,15508276,4,8,11,4,32337,0.063215,1.4901,1.4901
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,16.0,0.044313927,0.095902000,540486,15,15508276,4,8,11,4,32337,0.063215,2.2269,1.1134
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,32.0,0.083929854,0.091578000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1952,1.1952
