impl,graph_name,variant_or_mode,threads,runtime_seconds,total_levels,delta_unreached,source,directed,alpha,beta
ours,coPapersDBLP,hybrid_omp,4,0.025965113,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.059960831,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.032429654,15,,0,0,8.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.038862925,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.057268951,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.045793653,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.036548384,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.059488434,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.035218080,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.066465456,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.035483677,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.044695801,15,,0,0,20.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.026240274,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.041762108,15,,0,0,20.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.024520530,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.044708609,15,,0,0,20.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.023951512,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.042914182,15,,0,0,20.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.024206377,15,,0,0,10.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.039697042,15,,0,0,20.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.026682043,15,,0,0,10.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.042019146,15,,0,0,20.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.038383663,15,,0,0,10.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.016901999,15,,0,0,4.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.031413743,15,,0,0,10.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.019802284,15,,0,0,4.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.025482054,15,,0,0,12.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.017518329,15,,0,0,4.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.026782838,15,,0,0,12.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.028600111,15,,0,0,4.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.027822627,15,,0,0,12.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.027051965,15,,0,0,4.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.024153172,15,,0,0,12.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.016794828,15,,0,0,4.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.026813055,15,,0,0,12.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.016035146,15,,0,0,6.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.028887579,15,,0,0,12.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.028297669,15,,0,0,6.0,16.0
